"C:\Users\korna\Documents\Учёба\Проектная практика\TrackingOptimization\venv\Scripts\python.exe" "C:/Users/korna/Documents/Учёба/Проектная практика/TrackingOptimization/main.py"
OpenCV v4.1.0

|   iter    |  target   | maxLevel  | maxMed... | points... | termCr... | termCr... |  winSize  | winSiz... |
|  128      |  0.5033   |  3.539    |  10.55    |  6.798    |  0.4189   |  42.73    |  80.66    |  42.66    |
|  129      |  0.4986   |  2.284    |  10.6     |  5.874    |  0.4063   |  43.88    |  83.1     |  41.2     |
|  130      |  0.5039   |  3.618    |  10.11    |  9.893    |  0.3987   |  48.47    |  83.18    |  41.68    |
|  131      |  0.5028   |  4.175    |  11.22    |  6.496    |  0.392    |  45.43    |  82.38    |  40.16    |
|  132      |  0.4977   |  4.7      |  13.65    |  6.375    |  0.3251   |  44.86    |  81.32    |  39.56    |
|  133      |  0.4932   |  2.802    |  8.445    |  5.054    |  0.1716   |  43.64    |  82.83    |  42.63    |
|  134      |  0.5064   |  3.214    |  10.51    |  14.29    |  0.4545   |  46.16    |  85.72    |  44.61    |
|  135      |  0.4994   |  2.462    |  12.18    |  5.703    |  0.2144   |  49.53    |  93.36    |  47.53    |
|  136      |  0.509    |  5.63     |  10.14    |  7.696    |  0.4454   |  45.59    |  84.97    |  40.64    |
|  137      |  0.5146   |  3.164    |  15.85    |  7.653    |  0.3852   |  44.6     |  81.9     |  49.34    |
|  138      |  0.4993   |  6.116    |  14.86    |  5.173    |  0.4748   |  46.31    |  80.43    |  47.44    |
|  139      |  0.4911   |  3.781    |  8.77     |  9.623    |  0.1814   |  44.38    |  81.82    |  42.83    |
|  140      |  0.4956   |  2.265    |  5.029    |  10.65    |  0.2382   |  46.95    |  84.47    |  43.69    |
|  141      |  0.5018   |  4.248    |  14.83    |  6.523    |  0.1853   |  44.21    |  81.51    |  52.91    |
|  142      |  0.5141   |  2.995    |  11.49    |  6.82     |  0.4001   |  48.88    |  81.0     |  42.93    |
|  143      |  0.4963   |  4.153    |  10.99    |  5.791    |  0.4602   |  47.14    |  83.7     |  44.92    |
|  144      |  0.5048   |  4.211    |  8.854    |  7.594    |  0.3867   |  45.22    |  88.61    |  42.6     |
|  145      |  0.5034   |  4.002    |  9.885    |  11.78    |  0.3357   |  48.63    |  87.47    |  45.02    |
