video,ATA,F,F1,OTP,OTA,Deviation,PBM,FPS,Ms,fp,tp,fn,g,maxLevel,maxMedianLengthOfDisplacementDifference,pointsInGrid,termCriteria_epsilon,termCriteria_maxCount,winSize,winSizeNCC,my_object
TalhQQ9B7vc_0,0.6305573320490186,1.0,0.7628926609579108,0.4110991204789934,1.0,0.7223366095474774,0.9271703087791237,84.07054083324785,97.0,0.0,304.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[188, 188]",
TalhQQ9B7vc_0,0.6340534054837523,1.0,0.765423108644285,0.412130796457457,1.0,0.726538932269813,0.9280709640770419,66.97405408773807,100.0,0.0,301.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[189, 189]",
TalhQQ9B7vc_0,0.6271362723090786,1.0,0.7594859534268593,0.4067888476055951,1.0,0.7471235647548384,0.9327671832901694,63.98332737300426,106.0,0.0,295.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[190, 190]",
TalhQQ9B7vc_0,0.6362783354199285,1.0,0.7675787691856134,0.4135735861755904,1.0,0.7430819282341234,0.9333234545507864,81.51147811269428,93.0,0.0,308.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[191, 191]",
TalhQQ9B7vc_0,0.6329889938246667,1.0,0.7648810972918283,0.41992829151137817,1.0,0.7494410394019545,0.9323219235323547,86.9609126677952,104.0,0.0,297.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[192, 192]",
TalhQQ9B7vc_0,0.6152730592016572,1.0,0.7487137076668432,0.39180429740890793,1.0,0.758930732351267,0.9348421642274823,86.33700063316856,115.0,0.0,286.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[193, 193]",
TalhQQ9B7vc_0,0.6339991906727238,1.0,0.7657659069602951,0.41789231045857334,1.0,0.7594796803367685,0.9364863373765637,67.89176264564719,98.0,0.0,303.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[194, 194]",
TalhQQ9B7vc_0,0.6362947097459317,1.0,0.767900426234554,0.4159894374509921,1.0,0.7142629379891284,0.926461660665462,67.60747592406067,92.0,0.0,309.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[195, 195]",
TalhQQ9B7vc_0,0.6354734699146136,1.0,0.7668094751088141,0.41627468117221034,1.0,0.7368716458972501,0.932298674266832,80.62622777856787,99.0,0.0,302.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[196, 196]",
TalhQQ9B7vc_0,0.637757711369248,1.0,0.7695575680528841,0.4233738638273182,1.0,0.73050643032693,0.9307369970191121,74.57675218861426,89.0,0.0,312.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[197, 197]",
TalhQQ9B7vc_0,0.6267394210973428,1.0,0.7591306139629396,0.40978834430310057,1.0,0.7553776515586315,0.934043313621153,74.70215308433572,111.0,0.0,290.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[198, 198]",
TalhQQ9B7vc_0,0.6280662948457101,1.0,0.7605111393350172,0.41343599787976687,1.0,0.7504210766020065,0.9306408989441001,73.93440550423888,109.0,0.0,292.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[199, 199]",
TalhQQ9B7vc_0,0.62687993548814,1.0,0.7597664779732709,0.40986461262649154,1.0,0.7241997957130129,0.9292452102199844,65.34936358401734,101.0,0.0,300.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[200, 200]",
TalhQQ9B7vc_0,0.63077302940488,1.0,0.7629875804776495,0.4123293913544973,1.0,0.7249030892377406,0.927705685620352,65.3757171966128,100.0,0.0,301.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[201, 201]",
